AQI_Low,AQI_High,Feature,Feature_Low,Feature_High
0,50,PM2.5 (µg/m³),0.0,30.0
51,100,PM2.5 (µg/m³),31.0,60.0
101,200,PM2.5 (µg/m³),61.0,90.0
201,300,PM2.5 (µg/m³),91.0,120.0
301,400,PM2.5 (µg/m³),121.0,250.0
401,500,PM2.5 (µg/m³),251.0,1000.0
0,50,PM10 (µg/m³),0.0,50.0
51,100,PM10 (µg/m³),51.0,100.0
101,200,PM10 (µg/m³),101.0,250.0
201,300,PM10 (µg/m³),251.0,350.0
301,400,PM10 (µg/m³),351.0,430.0
401,500,PM10 (µg/m³),431.0,1000.0
0,50,CO (mg/m³),0.0,1.0
51,100,CO (mg/m³),1.1,2.0
101,200,CO (mg/m³),2.1,10.0
201,300,CO (mg/m³),10.1,17.0
301,400,CO (mg/m³),17.1,34.0
401,500,CO (mg/m³),34.1,1000.0
0,50,NO2 (µg/m³),0.0,40.0
51,100,NO2 (µg/m³),41.0,80.0
101,200,NO2 (µg/m³),81.0,180.0
201,300,NO2 (µg/m³),181.0,280.0
301,400,NO2 (µg/m³),281.0,400.0
401,500,NO2 (µg/m³),401.0,1000.0
0,50,SO2 (µg/m³),0.0,40.0
51,100,SO2 (µg/m³),41.0,80.0
101,200,SO2 (µg/m³),81.0,380.0
201,300,SO2 (µg/m³),381.0,800.0
301,400,SO2 (µg/m³),801.0,1600.0
401,500,SO2 (µg/m³),1601.0,10000.0
0,50,NH3 (µg/m³),0.0,200.0
51,100,NH3 (µg/m³),201.0,400.0
101,200,NH3 (µg/m³),401.0,800.0
201,300,NH3 (µg/m³),801.0,1200.0
301,400,NH3 (µg/m³),1201.0,1800.0
401,500,NH3 (µg/m³),1801.0,10000.0
